year,eea_cell_code,speciesKey,n,min_coord_uncertainty
1912,1kmE4813N3270,1095451,1,1000
1912,1kmE4813N3270,1095848,1,1000
1912,1kmE4813N3270,1211184,1,1000
1912,1kmE4813N3270,1211257,5,1000
1912,1kmE4813N3270,1214702,3,1000
1912,1kmE4813N3270,4427239,3,1000
1912,1kmE4813N3270,4433091,1,1000
1912,1kmE4813N3270,4438583,1,1000
1912,1kmE4813N3270,4438588,1,1000
1912,1kmE4813N3270,4448819,1,1000
1912,1kmE4813N3270,4450482,2,1000
1912,1kmE4813N3270,4450783,1,1000
1912,1kmE4813N3270,4452146,1,1000
1912,1kmE4813N3270,4452580,1,1000
1912,1kmE4813N3270,4454749,2,1000
1912,1kmE4813N3270,4469957,1,1000
1912,1kmE4813N3270,4470040,1,1000
1912,1kmE4813N3270,4471071,2,1000
1912,1kmE4813N3270,4472913,1,1000
1912,1kmE4813N3270,4473277,1,1000
1912,1kmE4813N3270,4988164,1,1000
1912,1kmE4813N3270,4988363,1,1000
1912,1kmE4813N3270,4989405,2,1000
1912,1kmE4813N3270,4994160,1,1000
1912,1kmE4813N3270,5746279,1,1000
1912,1kmE4813N3270,5752970,1,1000
1912,1kmE4813N3270,5755302,1,1000
1912,1kmE4813N3270,5756021,1,1000
1912,1kmE4813N3270,5878072,2,1000
1912,1kmE4813N3270,6097800,3,1000
1912,1kmE4813N3270,6097876,1,1000
1912,1kmE4813N3270,7458371,1,1000
1912,1kmE4813N3270,7748881,2,1000
1912,1kmE4813N3270,7805910,1,1000
1912,1kmE4813N3270,7825487,1,1000
1912,1kmE4813N3270,9726179,1,1000
1912,1kmE4813N3270,10595482,1,1000
1912,1kmE4813N3271,1034329,1,1000
1912,1kmE4813N3271,1035185,3,1000
1912,1kmE4813N3271,1035194,1,1000
1912,1kmE4813N3271,1036216,1,1000
1912,1kmE4813N3271,1038574,1,1000
1912,1kmE4813N3271,1038994,2,1000
1912,1kmE4813N3271,1043066,1,1000
1912,1kmE4813N3271,1043097,5,1000
1912,1kmE4813N3271,1043102,1,1000
1912,1kmE4813N3271,1047384,2,1000
1912,1kmE4813N3271,1071240,3,1000
1912,1kmE4813N3271,1095451,5,1000
1912,1kmE4813N3271,1207105,1,1000
1912,1kmE4813N3271,1211257,3,1000
1912,1kmE4813N3271,1214702,3,1000
1912,1kmE4813N3271,4308815,1,1000
1912,1kmE4813N3271,4427239,2,1000
1912,1kmE4813N3271,4433298,2,1000
1912,1kmE4813N3271,4448796,1,1000
1912,1kmE4813N3271,4448819,1,1000
1912,1kmE4813N3271,4450482,1,1000
1912,1kmE4813N3271,4452227,1,1000
1912,1kmE4813N3271,4452277,1,1000
1912,1kmE4813N3271,4452580,1,1000
1912,1kmE4813N3271,4454749,1,1000
1912,1kmE4813N3271,4458762,1,1000
1912,1kmE4813N3271,4469957,2,1000
1912,1kmE4813N3271,4470040,2,1000
1912,1kmE4813N3271,4470649,1,1000
1912,1kmE4813N3271,4471071,1,1000
1912,1kmE4813N3271,4471238,1,1000
1912,1kmE4813N3271,4472907,1,1000
1912,1kmE4813N3271,4472913,4,1000
1912,1kmE4813N3271,4473277,1,1000
1912,1kmE4813N3271,4473319,1,1000
1912,1kmE4813N3271,4475846,1,1000
1912,1kmE4813N3271,4988354,1,1000
1912,1kmE4813N3271,4988484,1,1000
1912,1kmE4813N3271,5022479,2,1000
1912,1kmE4813N3271,5749654,1,1000
1912,1kmE4813N3271,5749668,1,1000
1912,1kmE4813N3271,5752970,2,1000
1912,1kmE4813N3271,5753725,2,1000
1912,1kmE4813N3271,5756021,1,1000
1912,1kmE4813N3271,5874130,1,1000
1912,1kmE4813N3271,5878072,2,1000
1912,1kmE4813N3271,6097867,1,1000
1912,1kmE4813N3271,7458371,4,1000
1912,1kmE4813N3271,7805462,1,1000
1912,1kmE4813N3271,7825487,1,1000
1912,1kmE4813N3271,9010953,1,1000
1912,1kmE4813N3271,9444427,1,1000
1912,1kmE4813N3271,9750962,1,1000
1912,1kmE4813N3271,9775518,1,1000
1912,1kmE4813N3271,10902191,2,1000
1912,1kmE4814N3269,1035231,1,1000
1912,1kmE4814N3270,1035185,2,1000
1912,1kmE4814N3270,1036128,1,1000
1912,1kmE4814N3270,1036893,1,1000
1912,1kmE4814N3270,1038574,1,1000
1912,1kmE4814N3270,1038994,2,1000
1912,1kmE4814N3270,1038996,2,1000
1912,1kmE4814N3270,1043097,5,1000
1912,1kmE4814N3270,1043318,1,1000
1912,1kmE4814N3270,1047384,2,1000
1912,1kmE4814N3270,1071240,2,1000
1912,1kmE4814N3270,1091565,1,1000
1912,1kmE4814N3270,1095451,1,1000
1912,1kmE4814N3270,1211257,6,1000
1912,1kmE4814N3270,1214702,3,1000
1912,1kmE4814N3270,4308815,1,1000
1912,1kmE4814N3270,4427239,3,1000
1912,1kmE4814N3270,4433360,1,1000
1912,1kmE4814N3270,4433594,1,1000
1912,1kmE4814N3270,4448819,2,1000
1912,1kmE4814N3270,4450482,5,1000
1912,1kmE4814N3270,4452094,2,1000
1912,1kmE4814N3270,4452146,1,1000
1912,1kmE4814N3270,4452240,1,1000
1912,1kmE4814N3270,4452277,1,1000
1912,1kmE4814N3270,4452580,2,1000
1912,1kmE4814N3270,4454749,3,1000
1912,1kmE4814N3270,4464813,1,1000
1912,1kmE4814N3270,4470300,1,1000
1912,1kmE4814N3270,4470649,1,1000
1912,1kmE4814N3270,4471071,1,1000
1912,1kmE4814N3270,4472849,1,1000
1912,1kmE4814N3270,4472907,2,1000
1912,1kmE4814N3270,4472913,4,1000
1912,1kmE4814N3270,4988164,1,1000
1912,1kmE4814N3270,4988207,1,1000
1912,1kmE4814N3270,4988354,2,1000
1912,1kmE4814N3270,4988363,1,1000
1912,1kmE4814N3270,4988484,1,1000
1912,1kmE4814N3270,4989405,2,1000
1912,1kmE4814N3270,5022479,2,1000
1912,1kmE4814N3270,5746279,1,1000
1912,1kmE4814N3270,5749361,1,1000
1912,1kmE4814N3270,5749654,1,1000
1912,1kmE4814N3270,5749668,1,1000
1912,1kmE4814N3270,5749672,1,1000
1912,1kmE4814N3270,5750452,1,1000
1912,1kmE4814N3270,5752970,8,1000
1912,1kmE4814N3270,5753725,2,1000
1912,1kmE4814N3270,5755296,1,1000
1912,1kmE4814N3270,5757205,1,1000
1912,1kmE4814N3270,5872124,1,1000
1912,1kmE4814N3270,5872148,1,1000
1912,1kmE4814N3270,5873271,1,1000
1912,1kmE4814N3270,5874130,1,1000
1912,1kmE4814N3270,5878072,5,1000
1912,1kmE4814N3270,6097888,1,1000
1912,1kmE4814N3270,6097925,1,1000
1912,1kmE4814N3270,7370589,1,1000
1912,1kmE4814N3270,7458371,1,1000
1912,1kmE4814N3270,7805462,4,1000
1912,1kmE4814N3270,7825487,4,1000
1912,1kmE4814N3270,9010953,1,1000
1912,1kmE4814N3270,9444427,2,1000
1912,1kmE4814N3270,10595482,4,1000
1912,1kmE4814N3270,10902191,2,1000
1912,1kmE4814N3271,1034472,1,1000
1912,1kmE4814N3271,1035185,3,1000
1912,1kmE4814N3271,1035231,2,1000
1912,1kmE4814N3271,1035366,1,1000
1912,1kmE4814N3271,1036893,2,1000
1912,1kmE4814N3271,1038574,3,1000
1912,1kmE4814N3271,1038994,1,1000
1912,1kmE4814N3271,1038996,2,1000
1912,1kmE4814N3271,1039006,1,1000
1912,1kmE4814N3271,1039019,1,1000
1912,1kmE4814N3271,1039475,1,1000
1912,1kmE4814N3271,1040505,1,1000
1912,1kmE4814N3271,1043097,5,1000
1912,1kmE4814N3271,1043318,3,1000
1912,1kmE4814N3271,1045842,1,1000
1912,1kmE4814N3271,1071240,3,1000
1912,1kmE4814N3271,1095904,1,1000
1912,1kmE4814N3271,1211257,4,1000
1912,1kmE4814N3271,1214702,6,1000
1912,1kmE4814N3271,4308815,1,1000
1912,1kmE4814N3271,4427239,3,1000
1912,1kmE4814N3271,4432936,1,1000
1912,1kmE4814N3271,4433298,1,1000
