kingdom	kingdomkey	phylum	phylumkey	class	classkey	order	orderkey	family	familykey	genus	genuskey	species	specieskey	year	eeacellcode	kingdomcount	phylumcount	classcount	ordercount	familycount	genuscount	occurrences	mintemporaluncertainty	mincoordinateuncertaintyinmeters
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Rhizomnium	8287428	Rhizomnium punctatum	8006324	2024	1kmE5104N2249	2	2	2	1	1	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Tortella	8704249	Tortella tortuosa	2671369	2016	1kmE5063N2183	2	2	2	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Hylocomium	9478252	Hylocomium splendens	2679696	2024	1kmE5060N2270	1	1	1	1	1	1	1	1	1392.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Hylocomium	9478252	Hylocomium splendens	2679696	2024	1kmE5061N2271	6	6	5	5	4	2	2	1	1.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Hylocomium	9478252	Hylocomium splendens	2679696	2024	1kmE5061N2272	4	4	4	3	2	1	1	1	5.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Hylocomium	9478252	Hylocomium splendens	2679696	2024	1kmE5073N2267	2	2	2	2	2	1	1	1	5.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Hylocomium	9478252	Hylocomium splendens	2679696	2024	1kmE5073N2268	4	4	4	4	4	2	2	1	1.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Hylocomium	9478252	Hylocomium splendens	2679696	2024	1kmE5105N2248	4	4	4	3	1	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Hylocomium	9478252	Hylocomium splendens	2679696	2024	1kmE5125N2209	1	1	1	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Brachytheciaceae	4651	Brachythecium	9479232	Brachythecium rivulare	2679967	2021	1kmE5128N2213	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Brachytheciaceae	4651	Brachythecium	9479232	Brachythecium rivulare	2679967	2021	1kmE5144N2218	3	3	3	2	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Brachytheciaceae	4651	Brachythecium	9479232	Brachythecium rivulare	2679967	2021	1kmE5147N2218	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Neckeraceae	4665	Thamnobryum	9538777	Thamnobryum alopecurum	2678712	2016	1kmE5062N2183	2	2	2	2	2	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Tortula	9549878	Tortula muralis	5280562	2023	1kmE5023N2189	2	2	2	2	2	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Tortula	9549878	Tortula muralis	5280562	2024	1kmE5044N2196	1	1	1	1	1	1	1	1	88.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Tortula	9549878	Tortula muralis	5280562	2016	1kmE5064N2182	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Tortula	9549878	Tortula muralis	5280562	2023	1kmE5078N2149	2	2	2	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Tortula	9549878	Tortula muralis	5280562	2023	1kmE5089N2138	1	1	1	1	1	1	1	60	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Tortula	9549878	Tortula muralis	5280562	2023	1kmE5090N2137	1	1	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Cinclidotus	9692225	Cinclidotus aquaticus	2672819	2016	1kmE5063N2182	5	5	5	2	2	1	1	86400	1000.0
