speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
5218911,"Mustela putorius Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5218911: Mustela putorius Linnaeus, 1758 | 5218913: Mustela putorius furo Linnaeus, 1758 | 5816581: Mustela furo Linnaeus, 1758 | 10274210: BOLD:AAH2358"
5218987,"Mustela nivalis Linnaeus, 1766",SPECIES,ACCEPTED,Animalia,"5218987: Mustela nivalis Linnaeus, 1766"
5219019,"Mustela erminea Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5219019: Mustela erminea Linnaeus, 1758"
5219173,"Canis lupus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5219173: Canis lupus Linnaeus, 1758 | 5219200: Canis familiaris Linnaeus, 1758"
5219219,"Canis aureus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5219219: Canis aureus Linnaeus, 1758"
5219243,"Vulpes vulpes (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5219243: Vulpes vulpes (Linnaeus, 1758) | 7193880: Vulpes vulpes vulpes"
5219303,"Vulpes lagopus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5219303: Vulpes lagopus (Linnaeus, 1758)"
5219368,"Pusa sibirica (Gmelin, 1788)",SPECIES,ACCEPTED,Animalia,"5219368: Pusa sibirica (Gmelin, 1788)"
5219369,"Pusa hispida (Schreber, 1775)",SPECIES,ACCEPTED,Animalia,"2434773: Phoca hispida Schreber, 1775"
5219378,"Cystophora cristata (Erxleben, 1777)",SPECIES,ACCEPTED,Animalia,"5219378: Cystophora cristata (Erxleben, 1777)"
5219416,"Panthera tigris (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5219416: Panthera tigris (Linnaeus, 1758)"
5219616,"Erinaceus europaeus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5219616: Erinaceus europaeus Linnaeus, 1758"
5219833,"Micromys minutus (Pallas, 1771)",SPECIES,ACCEPTED,Animalia,"5219833: Micromys minutus (Pallas, 1771)"
5219858,"Ondatra zibethicus (Linnaeus, 1766)",SPECIES,ACCEPTED,Animalia,"5219858: Ondatra zibethicus (Linnaeus, 1766)"
5220003,"Delphinapterus leucas (Pallas, 1776)",SPECIES,ACCEPTED,Animalia,"5220003: Delphinapterus leucas (Pallas, 1776)"
5220013,"Hyperoodon ampullatus (Forster, 1770)",SPECIES,ACCEPTED,Animalia,"5220013: Hyperoodon ampullatus (Forster, 1770)"
5220027,"Grampus griseus (G.Cuvier, 1812)",SPECIES,ACCEPTED,Animalia,"5220027: Grampus griseus (G.Cuvier, 1812)"
5220055,"Stenella coeruleoalba (Meyen, 1833)",SPECIES,ACCEPTED,Animalia,"5220055: Stenella coeruleoalba (Meyen, 1833)"
5220064,"Stenella clymene (Gray, 1850)",SPECIES,ACCEPTED,Animalia,"5220064: Stenella clymene (Gray, 1850)"
5220073,"Lagenorhynchus acutus (Gray, 1828)",SPECIES,ACCEPTED,Animalia,"5220073: Lagenorhynchus acutus (Gray, 1828)"
