speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1039514,"Atheta palustris (Kiesenwetter, 1844)",SPECIES,ACCEPTED,Animalia,"1039514: Atheta palustris (Kiesenwetter, 1844)"
1039685,"Carpelimus memnonius (Erichson, 1840)",SPECIES,ACCEPTED,Animalia,"4440107: Trogophloeus memnonius Erichson, 1840"
1039716,"Carpelimus corticinus (Gravenhorst, 1806)",SPECIES,ACCEPTED,Animalia,"7724751: Trogophloeus corticinus (Gravenhorst, 1806)"
1039734,"Carpelimus gracilis (Mannerheim, 1830)",SPECIES,ACCEPTED,Animalia,"10538072: Trogophloeus gracilis (Mannerheim, 1830)"
1039761,"Carpelimus rivularis (Motschulsky, 1860)",SPECIES,ACCEPTED,Animalia,"4440214: Trogophloeus rivularis Motschulsky, 1860"
1039973,"Oxytelus sculptus Gravenhorst, 1806",SPECIES,ACCEPTED,Animalia,"1039973: Oxytelus sculptus Gravenhorst, 1806"
1039975,"Oxytelus laqueatus (Marsham, 1802)",SPECIES,ACCEPTED,Animalia,"1039975: Oxytelus laqueatus (Marsham, 1802)"
1040046,"Oligota pusillima (Gravenhorst, 1806)",SPECIES,ACCEPTED,Animalia,"1040046: Oligota pusillima (Gravenhorst, 1806)"
1040076,"Coprophilus striatulus (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1040076: Coprophilus striatulus (Fabricius, 1792)"
1040144,"Thinodromus dilatatus (Erichson, 1839)",SPECIES,ACCEPTED,Animalia,"4440305: Trogophloeus dilatatus Erichson, 1839"
1040164,"Crataraea suturalis (Mannerheim, 1830)",SPECIES,ACCEPTED,Animalia,11367481: Microglossa suturalis (Mannerheim)
1040176,"Philonthus ventralis (Gravenhorst, 1802)",SPECIES,ACCEPTED,Animalia,"1040176: Philonthus ventralis (Gravenhorst, 1802)"
1040429,"Stenus tarsalis Ljungh, 1810",SPECIES,ACCEPTED,Animalia,"1040429: Stenus tarsalis Ljungh, 1810"
1040460,"Stenus nanus Stephens, 1833",SPECIES,ACCEPTED,Animalia,"1040460: Stenus nanus Stephens, 1833"
1040466,"Stenus morio Gravenhorst, 1806",SPECIES,ACCEPTED,Animalia,"1040466: Stenus morio Gravenhorst, 1806"
